trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-195.2832323715624,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-63.28283871830385,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",30,0,-79.66307105083611,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-167.16940191577766,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-125.08048778621968,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,14,-8.012101784208923,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-55.692603004257926,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-55.86883428581255,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,5,-118.66112634864237,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 2}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,20,-11.162120121129547,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,2,-35.52873570971398,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-30.649349160429637,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,13,22.381929972694625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,11,7.093713213968339,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,15,-3.909212995262722,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",35,0,-10.665196759085354,"{0: 30, 1: 0, 2: 5, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,-28.563063136575344,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,13.56263927362539,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",30,0,32.92034980340765,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,10,26.32846798631672,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",30,18,22.614821150958992,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,12,10.596076020182387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,0,24.311457435519408,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",20,5,-1.674924104408962,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",35,11,30.92057739996755,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",25,0,6.4695999656306284,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",30,0,2.285571482139477,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",30,17,20.24313451290646,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,11,17.182149225207407,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,4,18.10389269008284,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
