trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-216.5086604581291,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-143.1842672719745,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-46.30235327546822,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-124.76892818181331,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",30,0,-281.3294308086475,"{0: 11, 1: 4, 2: 10, 3: 1, 4: 4}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-148.30869613058883,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-182.1352147258594,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
8,False,"{'e': 1.0, 'a': 0.5}",30,0,-84.37933865534949,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-95.6181388326667,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-114.44942886667862,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",30,15,-81.05829826137892,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 1}",1
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-281.8625282265497,"{0: 9, 1: 0, 2: 9, 3: 4, 4: 3}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-93.23406637714197,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
14,False,"{'e': 1.0, 'a': 0.5}",25,0,-228.61178498104675,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
15,False,"{'e': 1.0, 'a': 0.5}",25,0,-139.84716780745865,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'e': 1.0, 'a': 0.5}",30,2,-64.3066675401655,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 0}",1
17,False,"{'e': 1.0, 'a': 0.5}",25,0,-327.88518887803957,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 6}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-202.80225608637858,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,7,-24.324660324519424,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
20,False,"{'e': 1.0, 'a': 0.5}",30,0,-200.73581544851237,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
1,True,"{'e': 1.0, 'a': 0.5}",30,0,-113.91751763158803,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-83.93869677202161,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,0,-208.56651104837772,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",25,0,-118.36491200447763,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-171.5747544247276,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,0,-143.37772003104288,"{0: 11, 1: 1, 2: 11, 3: 2, 4: 0}",0
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-141.41776117648152,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-104.80759951915581,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-149.2625498455292,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,True,"{'e': 1.0, 'a': 0.5}",30,0,-287.3527215485903,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 5}",0
